이벤트발생일,수분6,수분7,수분8,수분9,수분10
2022-11-24 11:22,27.5,9.6,24.4,29.7,14
2022-11-24 11:26,27.5,27.2,24.4,30,23.8
2022-11-24 11:57,27,28.3,25.6,32,24.7
2022-11-24 12:28,27.4,29.4,27.3,33.3,25.4
2022-11-24 12:59,27.5,28.9,27.4,33.8,25.6
2022-11-24 13:30,26.4,28.2,25.6,33.8,25.6
2022-11-24 14:01,27.2,28.3,25.6,34.1,25.8
2022-11-24 14:32,27,28.8,25.6,34.1,25.6
2022-11-24 15:03,27,28.6,25.6,34,25.6
2022-11-24 15:34,26.8,28.9,25.6,33.7,25.5
2022-11-24 16:05,27.7,28.3,25.1,33.3,25.1
2022-11-24 16:36,27.2,25.9,24.2,33.1,24.4
2022-11-24 17:07,26.2,27.8,23.1,32,23.4
2022-11-24 17:38,25.2,24.2,21.8,32,23.2
2022-11-24 18:09,28.1,23.2,21,30.7,22.8
2022-11-24 18:40,26.9,26.9,20.8,30.7,22.7
2022-11-24 19:11,29.7,27.4,22.7,30.9,22.1
2022-11-24 19:42,28.2,24.7,22.6,30.6,22
2022-11-24 20:13,27.5,24.3,22.8,30.7,22.4
2022-11-24 20:44,27.8,27.5,22.6,29.8,22.4
2022-11-24 21:15,28.8,25.5,22.5,30.4,22
2022-11-24 21:46,27.2,25.6,22.2,30,22.1
2022-11-24 22:17,28.6,24.6,22.6,29.6,21.9
2022-11-24 22:48,27.8,26.3,22.1,29.4,21.5
2022-11-24 23:19,27.5,25.2,22.1,30.1,21.8
2022-11-24 23:50,28.5,26.2,22.2,30,21.8
2022-11-25 0:21,26.2,25.6,21.8,29.8,21.5
2022-11-25 0:52,29.7,25.1,21.8,29.7,21.8
2022-11-25 1:23,29.3,25.6,22.1,29.4,21.2
2022-11-25 1:54,26.9,26,22.5,29.7,21
2022-11-25 2:25,26,24.9,22.7,29.6,21.1
2022-11-25 2:56,27.7,26.8,22.4,29.4,22
2022-11-25 3:27,26.4,24.9,22,29.4,21.8
2022-11-25 3:58,30.4,26.2,22,28.9,21.8
2022-11-25 4:29,32.4,26,22,28.8,21.1
2022-11-25 5:00,33.6,27.4,21.5,29.6,21
2022-11-25 5:31,27.4,24.2,21.5,29.3,21.8
2022-11-25 6:02,29.7,24.9,20.3,29.3,21
2022-11-25 6:33,28.5,23.7,21.4,28.9,20.9
2022-11-25 7:04,27.9,24.7,21.4,29.3,21.2
2022-11-25 8:06,26.4,24.3,22.1,30.1,22.5
2022-11-25 8:37,25.6,25.1,23.2,30.2,22.2
2022-11-25 9:08,30.2,28.2,22.9,30.7,23.2
2022-11-25 9:39,28.4,27.8,24.8,31.4,23.4
2022-11-25 10:10,27.9,27.5,25.4,32.3,24.3
2022-11-25 10:41,28.9,29.3,25.8,32.9,24.8
2022-11-25 11:12,28.4,28.5,25.6,33.1,24.7
2022-11-25 11:43,28.3,28.5,26.2,33.4,25
2022-11-25 12:14,28.5,30.1,27.4,34.1,25.6
2022-11-25 12:45,28.8,30.2,27.5,34.7,25.9
2022-11-25 13:16,27.5,28.5,25.2,33.6,25.6
2022-11-25 13:47,27.5,28.3,25.8,34.1,25.9
2022-11-25 14:18,27.5,29.4,25.2,34.1,25.6
2022-11-25 14:49,27.9,28.5,24.8,33.3,25.4
2022-11-25 15:20,27.3,27.7,25.6,34.5,25.6
2022-11-25 15:51,28.3,27.3,25.1,33.8,25.2
2022-11-25 16:22,26.4,28.6,24.7,33.1,25.1
2022-11-25 16:53,27.9,25.6,23.4,33.1,24.2
2022-11-25 17:24,28.1,25.5,22.2,32,23.2
2022-11-25 17:55,28.6,24.7,21.8,30.7,23.2
2022-11-25 18:26,26.8,26.2,21.1,30.4,22.8
2022-11-25 18:57,29.8,27.5,23.3,30.6,22.7
2022-11-25 19:28,27.8,25.4,23.1,30.4,22.5
2022-11-25 19:59,29.7,27.2,23.1,30.4,22.1
2022-11-25 20:30,28.2,24.8,22.9,30.2,22.2
2022-11-25 21:01,29.4,25.6,22.8,30.4,22.4
2022-11-25 21:32,29.3,25.9,22.7,30,22.1
2022-11-25 22:03,29.4,25,22.8,30.4,22.6
2022-11-25 22:34,27.5,28.6,23.7,30.6,22.8
2022-11-25 23:05,27.4,24.3,22.8,31.1,22.6
2022-11-26 0:07,28.4,24.7,22.8,30.4,22.1
2022-11-26 0:38,28.2,24.3,22.6,30.7,22
2022-11-26 1:09,27.8,27.5,23.1,30.6,22.2
2022-11-26 1:40,28.6,27.5,22.8,30.7,22.4
2022-11-26 2:11,27.8,26.8,23.6,30.4,22.5
2022-11-26 2:42,27.9,26.9,23.4,31.3,22.6
2022-11-26 3:13,28.2,26.2,23.8,30.7,23.1
2022-11-26 3:44,29.8,28.3,24.2,30.9,23.2
2022-11-26 4:15,30.1,25.4,23.7,31.1,23.3
2022-11-26 4:46,29.7,27.8,23.6,31.4,22.9
2022-11-26 5:17,30.1,26.8,23.4,30.4,22.8
2022-11-26 5:48,27.8,25,23.4,30.2,22.4
2022-11-26 6:19,28.5,24.8,22.4,30.6,22.1
2022-11-26 6:50,27.5,24.9,22.2,30.7,22.1
2022-11-26 7:21,26.9,24.4,22.6,30,22.5
2022-11-26 7:52,26.3,27.5,22.1,30.1,21.9
2022-11-26 8:23,31.1,24.9,23.2,30.6,22.9
2022-11-26 8:54,29.7,26.4,24.8,31.1,23.4
2022-11-26 9:25,28.5,28.4,25.5,32.2,24.4
2022-11-26 9:56,28.1,28.6,26.2,32.9,25
2022-11-26 10:27,28.2,28.8,26.9,33.3,25.1
2022-11-26 10:58,28.1,29.6,26.9,33.4,25.2
2022-11-26 11:29,28.3,30,27.5,34,25.6
2022-11-26 12:00,28.8,30,27.5,34.5,25.6
2022-11-26 12:31,28.4,29.6,27.4,34.7,25.6
2022-11-26 13:02,28.1,29.3,27,34.1,25.6
