이벤트발생일,수분1,수분2,수분3,수분4,수분5,수분6
2023-01-06 12:21:05,30,20.8,47.5,28.8,28.1,28.2
2023-01-06 12:51:53,30.2,22.5,47.2,29.7,29.6,28.2
2023-01-06 13:23:39,30.7,23.6,48,29.3,30,28.2
2023-01-06 13:54:40,31.3,24.2,46.3,28.9,30.1,28.8
2023-01-06 14:25:40,30.6,24.4,45.8,28.8,29.8,28.2
2023-01-06 14:56:40,30.4,24.2,43.7,28.4,29.8,28.4
2023-01-06 15:27:39,30.7,23.4,40,27.7,29.7,28.1
2023-01-06 15:58:40,29.3,23.1,37.5,27.5,29.4,28.6
2023-01-06 16:29:40,29.7,22.6,36,27.4,28.8,29.3
2023-01-06 17:00:38,29.3,21.5,33.3,25.6,28.6,28.4
2023-01-06 17:31:38,27.4,22.5,30.9,25.2,28.2,28.4
2023-01-06 18:02:39,27.4,21.2,29.3,25,28.1,28.3
2023-01-06 18:33:39,27.3,20.9,28.4,24.8,27.4,27.5
2023-01-06 19:04:38,27.7,21.9,28.5,26.2,27.3,27
2023-01-06 19:35:38,27.7,21.1,29.4,26.9,27.8,27.7
2023-01-06 20:06:39,27.2,22.6,29.4,26.8,28.4,29.3
2023-01-06 20:37:38,28.5,21.5,30,26.3,28.6,30.1
2023-01-06 21:08:37,27.7,22.4,30,26.9,28.2,28.2
2023-01-06 21:39:37,27.9,22.5,30,27.2,28.6,29.7
2023-01-06 22:10:38,28.1,22,29.7,26.8,28.5,28.9
2023-01-06 22:41:38,28.3,23.1,30.4,26.4,28.4,29.7
2023-01-06 23:12:38,28.9,25.6,32.7,27,29.4,32.4
2023-01-06 23:43:37,28.5,26.2,32.7,27.5,28.9,30.4
2023-01-07 00:14:37,28.9,25,32.2,26.4,29.3,31.5
2023-01-07 00:45:51,27.5,25.6,31.5,26.8,28.9,30.7
2023-01-07 01:17:36,27.5,25.1,31.4,26.4,28.6,30.9
2023-01-07 02:35:09,28.2,24.4,33.8,27,29.7,30.4
2023-01-07 04:56:12,27.9,24.6,99.9,27.3,29.3,30.4
2023-01-07 05:41:28,28.3,24.7,99.9,27.3,28.9,30.7
2023-01-07 05:57:48,27.8,25,99.9,27,28.8,31.1
2023-01-07 06:44:14,28.4,24.3,99.9,26.2,28.5,29.7
2023-01-07 07:03:03,27.5,24.3,99.9,26,28.9,30.2
2023-01-07 07:38:10,27.8,23.8,99.9,25.9,28.8,32.2
2023-01-07 08:07:06,28.1,24.2,99.9,26.2,27.7,32.2
2023-01-07 08:42:01,28.2,23.6,99.9,26.2,27.8,30.2
2023-01-07 09:34:46,29.3,25.1,99.9,27.5,30.6,30.4
2023-01-07 10:17:30,30.1,25.4,99.9,29.3,29.8,30.6
2023-01-07 10:38:02,29.7,25.9,99.9,28.8,30.4,31.4
2023-01-07 11:17:00,30.1,26,99.9,28.9,30.4,31.3
2023-01-07 11:43:53,30.7,26,99.9,29.3,30.4,31.1
2023-01-07 12:16:05,30.2,25.9,99.9,29.4,30.4,30.7
2023-01-07 12:44:49,30.6,25.4,99.9,29.7,30.1,30.7
2023-01-07 13:16:49,30.1,25.2,99.9,28.4,29.7,30.4
2023-01-07 13:46:58,30.2,25.1,99.9,28.5,29.8,30.7
2023-01-07 14:18:44,30.6,24.7,99.9,28.6,29.7,30.9
2023-01-07 14:50:44,30.4,23.8,99.9,28.1,29.8,30
2023-01-07 15:22:44,30.1,24.6,99.9,28.2,29.7,30.7
2023-01-07 15:52:40,29.6,23.1,99.9,27.5,29.4,29.7
2023-01-07 16:25:16,29.6,23.6,99.9,27,29.4,30.4
2023-01-07 16:57:51,27.8,23.1,85,25.9,28.9,30.6
2023-01-07 17:29:56,28.1,20.9,71.8,25,29.6,28.8
2023-01-07 17:59:39,27.8,20.7,69.5,25.1,28.6,31.1
2023-01-07 18:27:32,26.4,21.1,91,24.4,28.8,28.1
2023-01-07 18:58:31,27.5,21.1,87.6,27,28.2,29.6
2023-01-07 19:29:31,25.9,22.2,83.8,25.6,28.1,31.1
2023-01-07 20:00:32,26.4,20.6,80.6,26.3,28.8,31.1
2023-01-07 20:31:32,26.8,22,80.6,26.2,28.8,30.7
2023-01-07 21:02:31,26.8,20.8,76.8,25.9,28.4,30.2
2023-01-07 21:33:31,26.3,20.8,75.6,26,27.3,28.5
2023-01-07 22:04:31,26.2,20.7,74.8,25.6,29.4,28.3
2023-01-07 22:35:31,26.3,20.1,72.2,25.6,27.4,31.1
2023-01-07 23:06:30,26.4,19.6,81.4,25.5,28.8,28.3
2023-01-07 23:37:30,25.5,19.9,31.5,25.2,27.5,30.4
2023-01-08 00:08:31,25.6,19.6,25.6,25,27.2,30.2
2023-01-08 00:39:30,26,18.9,24.9,25.1,27.9,27.8
2023-01-08 01:10:30,25.6,18.3,24.8,25.2,27.5,30.7
2023-01-08 01:41:31,25.6,19.4,24.3,25.6,26.9,27.2
2023-01-08 02:12:30,26,18,24.4,25.1,28.3,27.2
2023-01-08 02:43:29,26,17.5,24.4,25.6,26.4,29.7
2023-01-08 03:14:29,25.6,17.3,23.6,25.1,27.2,30.7
2023-01-08 03:45:30,25.6,16.6,23.1,25.6,27,27
2023-01-08 04:16:30,25.2,15.5,23.2,25,27.5,29.7
2023-01-08 04:47:29,25.5,14.3,22.7,25.1,27.3,29.6
2023-01-08 05:18:29,25.4,13.8,22,25.2,25.8,28.3
2023-01-08 05:49:30,25.6,13.3,22,25.1,25.8,27
2023-01-08 06:20:29,25.6,12.3,21.8,23.6,24.9,26.9
2023-01-08 06:51:41,25.4,12.1,22.1,23.8,22.9,30.2
2023-01-08 07:23:29,25.6,11.8,21.5,24.2,22.8,27.8
2023-01-08 07:54:28,25.1,11.9,21.2,23.8,22.4,26.4
2023-01-08 08:25:28,25.8,13.1,23.7,24.4,20.9,27.8
2023-01-08 08:56:29,26.8,13.3,99.9,25,20.8,27.4
2023-01-08 09:27:29,27.4,15.2,99.9,26.3,21.9,25
2023-01-08 09:58:29,27.3,15.2,99.9,26.9,21.4,27.4
2023-01-08 10:29:27,28.3,16.2,99.9,27.9,22,27.8
2023-01-08 11:00:28,28.8,17.9,99.9,28.8,23.2,27.8
2023-01-08 11:31:28,29.7,19,99.9,29.3,25.6,28.6
2023-01-08 12:02:27,30.7,21.4,99.9,30,27.9,29.3
2023-01-08 12:33:27,31.3,24.7,99.9,30.2,30.6,29.7
2023-01-08 13:04:28,31.3,25.6,99.9,30,30.7,29.4
2023-01-08 13:35:28,31.5,25.9,99.9,30.2,30.9,29.7
2023-01-08 14:06:26,32,25.8,99.9,30.2,30.7,29.7
2023-01-08 14:37:27,31.5,25.6,99.9,29.8,31.1,30
2023-01-08 15:08:27,30.9,25.5,99.9,29.8,30.4,29.7
2023-01-08 15:39:26,30.6,24.7,99.9,28.8,30.4,29.6
2023-01-08 16:10:26,29.8,24.3,99.9,28.2,30,29.6
2023-01-08 16:41:27,29.3,23.3,99.9,27.4,29.7,29.6
2023-01-08 18:14:25,27.3,21.1,99.9,24.9,27.9,28.9
2023-01-08 18:45:26,27.8,22.1,99.9,27,29.6,30.1
2023-01-08 19:47:25,26,21.9,99.9,25.6,28.1,28.1
2023-01-08 20:18:26,26.8,20.8,99.6,26.2,28.8,29.8
2023-01-08 20:49:26,26.2,21.4,99.9,26.2,29.4,27.5
2023-01-08 21:20:37,26.8,21.1,96.3,26.2,28.6,29.4
2023-01-08 21:52:25,27,20.7,92.7,26.2,28.1,28.6
2023-01-08 22:23:24,27,20.7,95.2,26.3,27.5,28.4
2023-01-08 22:54:37,26.4,20.6,86.8,26.2,29.7,29.7
2023-01-08 23:26:25,26.9,20.2,81.8,25.9,28.3,27.8
2023-01-08 23:57:24,26.9,20.1,84.4,25.9,29.7,29.7
2023-01-09 00:28:25,27.2,20,73.6,25.8,28.5,27.5
2023-01-09 00:59:25,26.4,20,80,26.3,27.3,28.3
2023-01-09 01:30:24,27,19.5,74.8,26.2,27.9,27.7
2023-01-09 02:01:36,26,19.7,71,26.4,27.3,27.5
2023-01-09 02:33:24,26.8,19.6,73.6,25.9,28.1,28.3
2023-01-09 03:04:23,26.8,19.7,74,26.2,27.2,30
2023-01-09 03:35:23,26.8,19.7,79,26,28.1,26.9
2023-01-09 04:06:24,27.2,19.5,79,26.2,27.8,29.7
2023-01-09 04:37:36,27.3,19.6,78.4,26.2,28.1,29.4
2023-01-09 05:09:23,27.3,19.7,89.4,25.9,28.2,28.6
2023-01-09 05:40:23,27.4,19.6,69.9,25.9,28.9,28.3
2023-01-09 06:11:35,27.7,19.6,73.6,25.4,28.3,28.6
2023-01-09 06:43:23,26.9,20,74.6,25.9,28.9,28.3
2023-01-09 07:14:23,27.7,19.6,74,25.9,27.8,27.5
2023-01-09 07:45:22,27.8,19.7,74.8,26.2,28.4,27
2023-01-09 08:16:22,27.5,19.9,83.4,25.9,28.2,29.7
2023-01-09 08:47:23,28.3,20.1,89.4,26.2,27.8,29.6
2023-01-09 09:18:22,27.5,20.7,93.1,26.3,28.9,28.4
2023-01-09 09:49:21,28.1,21.1,97.5,26.8,29.4,28.5
2023-01-09 10:20:22,29.6,22.7,93.5,27.8,30,28.6
2023-01-09 10:51:22,29.7,22.4,77.6,27.7,29.6,30
2023-01-09 11:53:29,28.9,22.8,75.6,27.7,29.8,29.3
2023-01-09 12:24:21,30.4,23.7,99.9,28.9,30.4,30
2023-01-09 12:55:21,30.4,24.7,99.9,30,30.6,29.7
2023-01-09 13:26:21,31.4,24.7,99.9,29.6,30.4,28.5
2023-01-09 13:57:20,30.6,25.1,99.9,28.6,30.6,30
2023-01-09 14:28:20,31.1,25,99.9,29.7,30.4,28.8
2023-01-09 14:59:21,30.7,23.6,99.9,28.1,30.4,29.7
2023-01-09 15:30:33,30.7,25,99.9,29.6,30.4,28.6
2023-01-09 16:33:20,30,22.4,85,27.3,29.4,29.7
2023-01-09 17:04:20,29.3,21.8,59.9,26,28.9,28.9
2023-01-09 17:35:20,27.5,21.4,52.2,25.2,28.5,27.8
2023-01-09 18:06:19,27.4,20.3,47.2,25.2,27.8,27.5
2023-01-09 18:37:19,26.8,20.6,42.8,25,28.1,27.9
2023-01-09 19:08:19,27.5,20.7,41.9,26.3,27.9,29.4
2023-01-09 19:39:44,27,20.6,41.5,25.9,28.6,28.5
2023-01-09 20:10:19,27.5,20.3,39.4,27,28.2,27.5
2023-01-09 21:13:19,26.8,20.7,38.6,26.8,28.2,26.9
2023-01-09 21:44:19,26.8,20.3,37.4,26.2,28.2,28.9
2023-01-09 22:15:18,25.8,20.2,35.1,25.6,28.3,27.2
2023-01-09 22:46:18,25.8,19.6,36,25.6,28.2,29.6
2023-01-09 23:17:19,26.2,19.6,35.5,25.2,28.2,27.2
2023-01-09 23:48:19,25.9,18.8,35.5,25.2,29.7,27.7
2023-01-10 00:19:17,26.2,18.6,30,25.2,28.8,25.8
2023-01-10 00:50:17,25.8,17.9,22.2,25.6,26.9,26.9
2023-01-10 01:21:18,25.1,17.8,20.7,25.5,27.2,31.1
2023-01-10 01:52:18,25.6,16.6,20.1,25.2,27.8,28.2
2023-01-10 02:23:17,25.6,15.6,20,24.9,27.4,30.4
2023-01-10 02:54:30,25.6,15.3,19.7,25.2,25.5,28.6
2023-01-10 03:26:18,25.6,13.6,20.3,25.2,25.2,26.9
2023-01-10 03:57:30,25.5,12.1,20.4,25.5,26.2,26.9
2023-01-10 04:29:17,25.6,11.6,20.2,25.4,23.6,30
2023-01-10 05:00:17,25.6,11.3,20.1,24.9,24.6,25.2
2023-01-10 05:31:29,25.4,10.8,19.6,25.1,22.4,25.1
2023-01-10 06:03:17,25.1,9.4,19.6,23.4,21,27.9
2023-01-10 06:34:17,25,9.6,19,23.4,20.7,27.5
2023-01-10 07:05:16,25.2,10.3,18.9,23.4,19.6,27.2
2023-01-10 07:36:16,25.2,9.4,19,23.3,18.9,26.9
2023-01-10 08:07:17,25,10.3,18.9,23.6,18.5,26.8
2023-01-10 08:38:16,25.9,10.7,23.2,24.6,19.6,25.6
2023-01-10 09:09:15,26.9,12.1,99.9,25.6,19,26.9
2023-01-10 09:40:16,27.5,13.1,99.9,27,20,27.3
2023-01-10 10:11:16,27.8,15,99.9,28.2,20.1,27.3
2023-01-10 10:42:15,28.6,15.3,99.9,28.2,20.9,27.8
2023-01-10 11:13:15,29.3,16.2,99.9,28.3,21.5,27.9
2023-01-10 11:44:16,29.7,17.7,99.9,29.4,22.6,28.1
2023-01-10 12:15:40,30.1,19.6,99.9,29.7,24.2,28.4
2023-01-10 12:46:14,30.7,22.2,99.9,30.4,26.4,28.8
2023-01-10 13:17:14,31.1,23.1,99.9,30,30,28.6
2023-01-10 13:48:15,32.2,23.4,99.9,30.4,30.4,28.6
2023-01-10 14:19:15,32,23.4,96.7,30.6,30.4,29.3
2023-01-10 15:21:14,31.3,22.7,82.2,29.3,30.4,28.1
2023-01-10 15:52:14,30.2,22.5,70.6,28.6,29.8,28.1
2023-01-10 16:23:14,30.6,21.1,81.8,28.5,29.6,28.3
2023-01-10 16:54:13,29.3,20.1,62.5,27.4,28.6,28.1
2023-01-10 17:25:13,28.3,18.9,53.3,25.4,28.4,28.2
2023-01-10 17:56:14,27.5,19.5,49,25.1,27.5,28.3
2023-01-10 18:27:14,27.2,19,46.7,25,27.7,26.9
2023-01-10 18:58:13,26.2,18.9,44.6,26.2,28.5,27.3
2023-01-10 19:29:13,26.2,19.9,44.5,26.2,28.2,28.1
2023-01-10 20:00:13,26.9,19.6,43.5,25.6,27.7,28.1
2023-01-10 20:31:12,26.8,18.1,41.6,25.6,27.9,27.2
2023-01-10 21:02:12,26.2,18.5,43.3,26.2,27.9,28.5
2023-01-10 21:33:13,26.8,18.5,43.4,25.8,28.8,27.8
2023-01-10 22:04:13,25.9,18.2,41.7,25.8,27.9,27.5
2023-01-10 22:35:12,26,18.1,42,25.8,26.8,26.2
2023-01-10 23:06:12,26,17.9,41.6,25.6,28.5,27.8
2023-01-10 23:37:12,25.9,17.7,40.6,25.6,27.5,27.3
2023-01-11 00:08:11,25.9,17.7,39,25.6,28.2,26.9
2023-01-11 00:39:11,26.2,17.8,39.1,25.1,27.9,25.8
2023-01-11 01:10:12,26.3,16.6,38.7,25.2,26.4,26
2023-01-11 01:41:12,26.4,16.5,27.8,25.4,26.9,29.4
2023-01-11 02:12:11,25.6,15.8,22.9,24.9,27.3,26.2
2023-01-11 02:43:12,25.6,15.2,20.9,25.4,26.3,25.8
2023-01-11 03:14:12,26,14,20.9,25,25.6,26
2023-01-11 03:45:23,25.8,13.1,20.8,25.1,26,28.6
2023-01-11 04:17:11,25.9,11.9,20.4,24.8,24.8,26.4
2023-01-11 04:48:11,25.6,11.6,20.3,25,25.2,26
2023-01-11 05:19:10,25.6,10.3,20,24.7,23.4,26.8
2023-01-11 05:50:11,25.6,10.3,19.6,25.1,22.5,25.1
2023-01-11 06:21:11,25.6,9.3,19.5,24.2,20,28.6
2023-01-11 06:52:10,25.2,9.4,19.5,23.7,20.9,24.8
2023-01-11 07:23:10,25.6,8.8,19.4,23.6,19.4,27.9
2023-01-11 07:54:11,25.6,8.5,19.4,23.7,18.9,27.3
2023-01-11 08:25:09,25.4,9.3,20.6,23.8,18.6,26.4
2023-01-11 08:56:09,27,10.5,77.6,24.9,19,27.5
2023-01-11 09:27:10,27,11.6,99.9,26,20.3,27.8
2023-01-11 09:58:10,27.9,12.1,99.9,27.5,20.2,27.2
2023-01-11 10:29:09,28.3,13.6,99.9,27.7,20.2,27.3
2023-01-11 11:00:09,28.9,15.2,99.9,28.3,21,27.7
2023-01-11 11:31:10,29.6,16.8,99.9,28.5,22.6,28.1
2023-01-11 12:02:09,30.1,18.5,99.9,29.6,24.7,28.2
2023-01-11 12:33:08,31.4,21.5,99.9,30.6,29.7,28.4
2023-01-11 13:04:08,31.4,22.2,99.9,30.2,30.4,28.3
2023-01-11 13:35:09,32.3,22.6,99.9,30.6,30.2,28.3
2023-01-11 14:06:09,32.5,22.5,99.9,30.4,30.2,28.3
2023-01-11 14:37:08,32.4,23.1,99.9,30.6,30.6,28.3
