이벤트발생일,수분7,수분8,수분9,수분10
2023-01-06 12:23:04,28.1,25.4,27.5,24.4
2023-01-06 12:53:52,28.8,25.6,27.7,24.9
2023-01-06 13:25:39,28.3,25.6,28.5,25.2
2023-01-06 13:56:40,28.6,25.9,28.4,25.2
2023-01-06 14:27:40,29.4,25.6,28.4,25.2
2023-01-06 14:58:40,27.5,25.2,28.1,25.2
2023-01-06 15:29:39,29.7,24.6,28.2,24.8
2023-01-06 16:00:39,26.3,23.6,27.8,24.4
2023-01-06 16:31:39,28.3,23.4,27.3,23.4
2023-01-06 17:02:38,28.3,22.6,26.8,23.4
2023-01-06 17:33:38,27.5,22,25.9,22.8
2023-01-06 18:04:39,25,21.5,25.6,21.9
2023-01-06 18:35:39,24.4,21.5,25.4,22
2023-01-06 19:06:37,26.3,21.4,26.2,21.5
2023-01-06 19:37:38,27,21.5,25.6,22.4
2023-01-06 20:08:38,27.3,21.8,25.8,22.4
2023-01-06 20:39:38,25.2,22.2,25.9,22.5
2023-01-06 21:10:37,25.5,22,26.4,22.6
2023-01-06 21:41:38,26.2,22,26.4,22.7
2023-01-06 22:12:38,24.9,22.4,26.2,22.6
2023-01-06 22:43:38,26.8,22.6,26.8,22.8
2023-01-06 23:14:37,27.9,22.7,27.8,23.8
2023-01-06 23:45:36,28.3,22.2,29.3,23.4
2023-01-07 00:16:37,28.1,22.5,27.9,23.4
2023-01-07 00:47:51,25.2,22.7,28.3,23.1
2023-01-07 01:19:37,27.4,21.9,28.3,22.9
2023-01-07 02:37:09,25.6,22.6,27.5,22.8
2023-01-07 04:58:11,27.5,22.1,28.1,22.9
2023-01-07 05:43:28,26.9,22.1,27.5,22.8
2023-01-07 05:59:48,26.2,22.6,27.5,22.8
2023-01-07 06:46:13,25.4,22.4,27.7,22.7
2023-01-07 07:05:02,24.9,22.6,27.5,22.9
2023-01-07 07:40:10,26,21.5,27.5,22.6
2023-01-07 08:09:06,25.6,22.1,27.2,22.1
2023-01-07 08:44:01,25.6,21.8,27.4,22.9
2023-01-07 09:36:46,27.7,23.3,27.9,23.6
2023-01-07 10:19:29,26.9,24.4,28.2,24.8
2023-01-07 10:40:01,28.8,24.6,28.8,25.1
2023-01-07 11:19:00,28.6,24.8,28.9,25.1
2023-01-07 11:45:53,27.7,25,28.6,25.2
2023-01-07 12:18:05,28.9,25,28.8,25.2
2023-01-07 12:46:49,28.8,24.9,28.8,25.2
2023-01-07 13:18:48,27.8,24.7,28.8,25.2
2023-01-07 13:48:57,29.3,24.6,28.8,24.8
2023-01-07 14:20:44,27.5,24.8,28.6,24.9
2023-01-07 14:52:44,27.5,24.6,28.4,24.4
2023-01-07 15:24:44,27.4,24.3,28.6,24.7
2023-01-07 15:54:41,26.2,23.8,27.8,24.2
2023-01-07 16:27:17,26.2,23.1,27.9,23.3
2023-01-07 16:59:50,25.9,22.2,27.3,22.8
2023-01-07 17:31:55,27,21.5,26.4,22
2023-01-07 18:01:39,25.2,21.2,25.6,22.2
2023-01-07 18:29:32,23.8,20.7,25.6,21.8
