z6-20054,Port1,,Port2,,Port3,,Port4,,Port5,,Port6,,Port7,,Port8,
# Records: 4106,TEROS 21 Water Potential/Temp,,TEROS 21 Water Potential/Temp,,TEROS 21 Water Potential/Temp,,TEROS 21 Water Potential/Temp,,TEROS 21 Water Potential/Temp,,TEROS 21 Water Potential/Temp,,Battery,,Barometer,
Timestamps, kPa Matric Potential, ¡ÆC Soil Temperature, kPa Matric Potential, ¡ÆC Soil Temperature, kPa Matric Potential, ¡ÆC Soil Temperature, kPa Matric Potential, ¡ÆC Soil Temperature, kPa Matric Potential, ¡ÆC Soil Temperature, kPa Matric Potential, ¡ÆC Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, ¡ÆC Logger Temperature
,,,,,,,,,,,,,,,,
2023-02-27 18:00:00,-0.2,5,-0.1,5.4,-0.1,5.5,-15.2,8.1,-15.6,8.2,-14.5,8.6,38,7151,103.17,8.4
2023-02-27 18:10:00,-0.2,5.1,-0.1,5.4,-0.1,5.5,-15.2,7.8,-15.6,7.9,-14.5,8.4,38,7145,103.17,7.6
2023-02-27 18:20:00,-0.2,5.1,-0.1,5.4,-0.1,5.5,-15.2,7.6,-15.6,7.6,-14.5,8.1,38,7148,103.17,6.7
2023-02-27 18:30:00,-0.2,5.1,-0.1,5.4,-0.1,5.5,-15.1,7.4,-15.6,7.3,-14.5,7.9,38,7146,103.16,5.6
2023-02-27 18:40:00,-0.2,5.2,-0.1,5.4,-0.1,5.5,-15.1,7.1,-15.5,7,-14.5,7.6,38,7145,103.16,4.4
2023-02-27 18:50:00,-0.2,5.2,-0.1,5.4,-0.1,5.5,-15.1,6.8,-15.5,6.7,-14.5,7.3,38,7144,103.14,3.4
2023-02-27 19:00:00,-0.2,5.2,-0.1,5.4,-0.1,5.5,-15.1,6.6,-15.5,6.4,-14.5,7,38,7144,103.14,2.2
2023-02-27 19:10:00,-0.2,5.2,-0.1,5.3,-0.1,5.5,-15.1,6.3,-15.5,6,-14.5,6.8,38,7144,103.14,1.3
2023-02-27 19:20:00,-0.2,5.2,-0.1,5.3,-0.1,5.5,-15.1,6,-15.5,5.7,-14.5,6.5,37,7137,103.15,0.8
2023-02-27 19:30:00,-0.2,5.2,-0.1,5.3,-0.1,5.5,-15.1,5.8,-15.5,5.4,-14.5,6.2,37,7137,103.14,0.6
2023-02-27 19:40:00,-0.2,5.2,-0.1,5.2,-0.1,5.4,-15.1,5.6,-15.5,5.2,-14.5,6,37,7136,103.14,0.2
2023-02-27 19:50:00,-0.2,5.2,-0.1,5.2,-0.1,5.4,-15.1,5.3,-15.5,5,-14.5,5.7,37,7133,103.14,-0.3
2023-02-27 20:00:00,-0.2,5.2,-0.1,5.2,-0.1,5.4,-15.1,5.2,-15.5,4.8,-14.5,5.5,37,7137,103.14,-0.7
2023-02-27 20:10:00,-0.2,5.2,-0.1,5.1,-0.1,5.3,-15.1,5,-15.5,4.6,-14.5,5.2,37,7137,103.14,-1.1
2023-02-27 20:20:00,-0.2,5.2,-0.1,5.1,-0.1,5.3,-15.1,4.8,-15.5,4.3,-14.4,5,37,7136,103.13,-1.5
2023-02-27 20:30:00,-0.2,5.2,-0.1,5,-0.1,5.3,-15.1,4.6,-15.5,4.1,-14.4,4.8,37,7129,103.14,-1.9
2023-02-27 20:40:00,-0.2,5.2,-0.1,5,-0.1,5.2,-15.1,4.4,-15.5,3.9,-14.5,4.6,37,7130,103.14,-2.1
2023-02-27 20:50:00,-0.2,5.2,-0.1,4.9,-0.1,5.2,-15.1,4.2,-15.4,3.7,-14.4,4.4,37,7131,103.14,-2.6
